Year,SurveyID,Presence,sLatitude,sLongitude
2023,102001,0,47D-27M-56.38S,124D-16M-54.81S
2023,102002,0,38D- 9M-20.55S,105D-30M-24.85S
2023,102003,0,40D-16M-14.50S,107D-51M-26.20S
2023,102004,1,41D-29M-49.86S,107D-54M-40.44S
2023,102005,1,39D- 9M-14.51S,106D-25M-18.98S
2023,102006,1,64D-30M-39.65S,157D- 0M-51.34S
2023,102007,1,29D-10M-53.57S,103D-37M-31.77S
2023,102008,1,41D-44M-39.16S,100D-45M-35.21S
2023,102009,0,65D- 5M-51.41S,150D-18M-35.25S
2023,102010,1,38D-51M-19.40S,120D-27M-17.50S
2023,102011,1,46D-36M-54.66S,120D-32M-12.73S
2023,102012,0,30D-41M-43.97S,97D-45M-23.55S
2023,102013,0,43D-32M-26.28S,73D-46M-38.10S
2023,102014,0,31D-17M-39.41S,84D-25M-59.20S
2023,102015,0,45D-38M-26.53S,92D-15M-18.39S
2023,102016,0,49D-15M- 0.55S,119D-31M- 0.90S
2023,102017,0,60D-33M-19.74S,137D- 8M-46.14S
2023,102018,0,41D- 3M-36.13S,87D-26M- 6.66S
2023,102019,0,43D-13M-59.60S,113D-47M-58.80S
2023,102020,0,49D-46M-40.89S,93D-57M- 4.20S
2023,102021,1,35D-34M-11.90S,92D-12M-56.62S
2023,102022,0,48D-51M-14.73S,121D-53M-47.94S
2023,102023,0,42D-26M-7.72S,71D-26M-45.73S
2023,102024,1,48D-23M-35.48S,90D-4M-35.56S
2023,102025,0,46D-23M-41.94S,86D-24M-18.66S
2023,102026,1,39D-20M-13.64S,87D-47M-46.75S
2023,102027,1,50D-27M-46.43S,64D-4M-58.49S
2023,102028,0,40D-45M-38.69S,105D-28M-38.62S
2023,102029,0,37D-41M-54.96S,102D-18M-18.53S
2023,102030,0,50D-39M-49.26S,115D-51M-9.61S
2023,102031,0,33D-8M-14.5S,87D-6M-59.58S
2023,102032,1,29D-57M-39.06S,104D-2M-54.52S
2023,102033,0,49D-11M-31.76S,117D-10M-57.52S
2023,102034,0,28D-54M-47.74S,95D-37M-4.54S
2023,102035,0,40D-48M-58.13S,72D-38M-23.12S
2023,102036,0,43D-53M-50.04S,103D-38M-54.88S
2023,102037,0,45D-24M-8.8S,120D-11M-16.27S
2023,102038,0,43D-33M-56.94S,112D-52M-42.16S
2023,102039,1,34D-32M-23.26S,78D-4M-26.89S
2023,102040,1,37D-6M-22.33S,112D-43M-45.15S
2023,102041,1,34D-31M-52.85S,108D-47M-29.61S
2023,102042,0,63D-25M-58.34S,150D-18M-7.48S
2023,102043,1,45D-57M-42.67S,72D-35M-19.97S
2023,102044,0,39D-13M-20.41S,79D-15M-3.94S
2023,102045,1,46D-9M-12.8S,68D-3M-39.38S
2023,102046,0,37D-22M-0.11S,78D-48M-1.71S
2023,102047,0,29D-22M-45S,99D-9M-4.89S
2023,102048,0,47D-9M-18.74S,70D-36M-12.33S
2023,102049,1,31D-11M-51.91S,91D-29M-4.36S
2023,102050,0,34D-51M-43.17S,119D-18M-21.99S
2023,102051,0,40D-16M-12.54S,74D-43M-41.27S
2023,102052,0,39D-59M-19.19S,107D-40M-12.41S
2023,102053,0,49D-28M-15.34S,83D-56M-32.88S
2023,102054,0,40D-37M-21.25S,123D-39M-32.2S
2023,102055,0,36D-37M-14.93S,79D-15M-27.77S
2023,102056,0,37D-7M-6.6S,75D-58M-17.8S
2023,102057,1,50D-46M-8.46S,122D-12M-16.84S
2023,102058,1,61D-47M-34.63S,150D-4M-49S
2023,102059,0,46D-34M-26.42S,107D-8M-17.36S
2023,102060,0,30D-30M-48.89S,95D-32M-44.56S
2023,102061,0,35D-18M-32.81S,112D-50M-31.97S
2023,102062,0,49D-30M-19.86S,98D-10M-29.77S
2023,102063,1,39D-25M-46.13S,74D-55M-50.87S
2023,102064,1,56D-17M-38.33S,117D-48M-55.02S
2023,102065,0,38D-23M-30.05S,90D-54M-34.53S
2023,102066,0,27D-54M-22.25S,81D-43M-13S
2023,102067,0,38D-15M-5.55S,119D-14M-9.88S
2023,102068,0,25D-41M-51.72S,80D-45M-20.39S
2023,102069,0,53D-48M-46.19S,118D-28M-55.74S
2023,102070,0,44D-18M-27.23S,94D-18M-25.67S
2023,102071,0,36D-24M-18.47S,92D-6M-16.28S
2023,102072,0,48D-37M-52.31S,81D-38M-47.37S
2023,102073,0,29D-48M-49.7S,99D-47M-41.56S
2023,102102,1,49D-27M-4.33S,119D-3M-37.01S
2023,102105,1,31D-11M-18.58S,101D-57M-19.28S
2023,102109,1,55D-31M-11.72S,114D-53M-0.26S
2023,102111,0,38D-33M-47.17S,98D-3M-10.96S
2023,102140,1,38D-46M-47.54S,103D-20M-42.36S
2023,102142,0,37D-1M-22.56S,81D-57M-5.75S
2023,102156,0,50D-8M-38.87S,111D-59M-0.32S
2023,102164,1,40D-23M-6.51S,77D-40M-37.79S
2023,102201,0,46D-36M-59.59S,92D-42M-53.72S
2023,102203,1,51D-31M-43.63S,116D-15M-31.73S
2023,102204,1,43D-45M-29.27S,83D-14M-59.12S
2023,102205,0,40D-39M-31.64S,92D-52M-41.47S
2023,102206,1,33D-48M-27.67S,82D-16M-57.26S
2023,102207,0,43D-46M-11.23S,104D-34M-47.83S
2023,102208,0,40D-4M-50.62S,108D-16M-3.2S
2023,102209,1,54D-30M-28.09S,112D-58M-16.92S
2023,102210,0,38D-23M-55.93S,105D-13M-11.73S
2023,102211,0,48D-3M-28.9S,110D-21M-52.77S
2023,102212,0,38D-39M-22.06S,82D-24M-17.32S
2023,102213,0,38D-27M-16.28S,95D-47M-6.11S
2023,102214,1,44D-55M-58.57S,108D-16M-38.93S
2023,102215,1,37D-6M-54S,104D-34M-43.93S
2023,102216,1,29D-13M-25.13S,81D-46M-8.53S
2023,102217,1,53D-32M-51.31S,104D-10M-59.16S
2023,102218,0,45D-41M-38.12S,62D-9M-36.81S
2023,102306,0,36D-44M-30.93S,76D-1M-28.97S
2023,102750,0,33D-53M-22.22S,98D-58M-22.4S
2023,102751,0,27D-12M-26.41S,99D-13M-12.68S
2023,102752,0,32D-48M-2.01S,87D-46M-26.69S
2023,102753,0,33D-22M-0.96S,98D-55M-27.07S
2023,102900,0,35D-51M-27.92S,114D-20M-55.54S
2023,103001,0,45D-3M-27.45S,78D-30M-28.99S
2023,103002,0,43D-3M-32.48S,91D-52M-14.66S
2023,103003,0,39D-47M-42.92S,93D-8M-21.81S
2023,103004,1,45D-39M-7.7S,88D-49M-17.23S
2023,103005,1,39D-39M-16.9S,77D-34M-41.85S
2023,103006,1,46D-36M-40.39S,69D-30M-18.78S
2023,103007,0,50D-27M-13.43S,96D-44M-26.88S
2023,103008,0,49D-37M-16.45S,96D-12M-37.2S
2023,103009,1,41D-40M-24.64S,77D-10M-31.51S
2023,103010,0,49D-30M-22.7S,104D-45M-46.84S
2023,103011,0,33D-49M-2.48S,87D-9M-34.79S
2023,103012,0,38D-31M-51.78S,78D-22M-48.17S
2023,103013,0,38D-38M-26S,110D-34M-43.7S
2023,103015,0,47D-16M-2.38S,120D-43M-25.74S
2023,103016,1,38D-54M-33.95S,79D-41M-36.4S
2023,103017,0,40D-37M-8.24S,98D-40M-29.2S
2023,103018,0,41D-38M-31.81S,78D-37M-38.8S
2023,103019,1,49D-56M-57.99S,109D-33M-18.53S
2023,103020,0,43D-45M-23.95S,119D-35M-38.46S
2023,103021,1,34D-44M-45.17S,120D-14M-27.16S
2023,103023,0,50D-43M-42.52S,127D-52M-35.1S
2023,103024,0,41D-48M-17.95S,115D-57M-19.36S
2023,103025,0,34D-5M-46.65S,115D-17M-31.56S
2023,103026,1,49D-21M-23.37S,111D-52M-53.71S
2023,103028,1,46D-36M-54.49S,72D-51M-27.6S
2023,103029,0,47D-20M-19.07S,71D-1M-9.38S
2023,103030,0,49D-28M-35.66S,100D-43M-53.6S
2023,103031,0,44D-20M-10.87S,77D-28M-27.32S
2023,103040,0,48D-7M-19.83S,123D-23M-4.53S
2023,103041,0,48D-22M-43.46S,99D-19M-58.05S
2023,103042,1,39D-39M-7.34S,79D-39M-10.61S
2023,103050,1,30D-45M-14.32S,96D-42M-42.24S
2023,103051,0,33D-11M-54.57S,107D-1M-39.54S
2023,103052,1,35D-46M-20.1S,83D-16M-50.69S
